logFile;dataFileName;Algorithm;Number of classes;solutionValue;isFeasible;cpuTime
vingtTroisSommets_A6.0_P6_EPS0.0.log;vingtTroisSommets;6.0;6;196.0;True;0.1652524471282959
vingtCinqSommets_A6.0_P4_EPS1.0.log;vingtCinqSommets;6.0;4;152.0;True;0.12647604942321777
vingtCinqSommets_A6.0_P5_EPS0.5.log;vingtCinqSommets;6.0;5;212.0;True;0.19892311096191406
vingtEtunSommets_A6.0_P3_EPS0.5.log;vingtEtunSommets;6.0;3;107.0;True;0.09473490715026855
milleSommets_A6.0_P3_EPS1.0.log;milleSommets;6.0;3;6421.0;True;4.7559404373168945
cinqCentSommets_A6.0_P5_EPS0.5.log;cinqCentSommets;6.0;5;5755.0;True;3.707536458969116
vingtEtunSommets_A6.0_P6_EPS1.0.log;vingtEtunSommets;6.0;6;144.0;True;0.13048577308654785
quinzeSommets_A6.0_P5_EPS1.0.log;quinzeSommets;6.0;5;60.0;True;0.05271744728088379
vingtDeuxSommets_A6.0_P2_EPS1.0.log;vingtDeuxSommets;6.0;2;0.0;True;0.07887887954711914
vingtEtunSommets_A6.0_P6_EPS0.0.log;vingtEtunSommets;6.0;6;177.0;True;0.1166679859161377
vingtEtunSommets_A6.0_P5_EPS0.0.log;vingtEtunSommets;6.0;5;167.0;True;0.12284970283508301
quinzeSommets_A6.0_P5_EPS0.5.log;quinzeSommets;6.0;5;61.0;True;0.0543365478515625
centSommets_A6.0_P4_EPS1.0.log;centSommets;6.0;4;1289.0;True;0.8135285377502441
vingtCinqSommets_A6.0_P2_EPS1.0.log;vingtCinqSommets;6.0;2;0.0;True;0.10295605659484863
cinqSommets_A6.0_P3_EPS0.5.log;cinqSommets;6.0;3;4.0;True;0.01683950424194336
vingtTroisSommets_A6.0_P5_EPS0.0.log;vingtTroisSommets;6.0;5;186.0;True;0.13718032836914062
vingtTroisSommets_A6.0_P3_EPS0.0.log;vingtTroisSommets;6.0;3;156.0;True;0.10843563079833984
vingtSommets_A6.0_P2_EPS0.5.log;vingtSommets;6.0;2;29.0;True;0.050841569900512695
cinquanteSommets_A6.0_P3_EPS0.5.log;cinquanteSommets;6.0;3;276.0;True;0.21844696998596191
vingtEtunSommets_A6.0_P4_EPS0.5.log;vingtEtunSommets;6.0;4;141.0;True;0.095367431640625
milleSommets_A6.0_P4_EPS1.0.log;milleSommets;6.0;4;7272.0;True;5.446900367736816
cinqSommets_A6.0_P5_EPS1.0.log;missing;6.0;5;missing;missing;missing
cinqCentSommets_A6.0_P4_EPS0.5.log;cinqCentSommets;6.0;4;5379.0;True;3.368194580078125
centSommets_A6.0_P5_EPS0.0.log;centSommets;6.0;5;1569.0;True;1.217832326889038
quatreSommets_A6.0_P5_EPS0.5.log;missing;6.0;5;missing;missing;missing
cinqCentSommets_A6.0_P4_EPS1.0.log;cinqCentSommets;6.0;4;5350.0;True;3.3789191246032715
trenteSommets_A6.0_P2_EPS0.5.log;trenteSommets;6.0;2;135.0;True;0.15113496780395508
cinqCentSommets_A6.0_P2_EPS0.0.log;cinqCentSommets;6.0;2;3632.0;True;4.404924631118774
vingtDeuxSommets_A6.0_P2_EPS0.5.log;vingtDeuxSommets;6.0;2;74.0;True;0.09038472175598145
vingtSommets_A6.0_P5_EPS0.5.log;vingtSommets;6.0;5;67.0;True;0.05515003204345703
milleSommets_A6.0_P4_EPS0.0.log;milleSommets;6.0;4;7377.0;True;7.57172703742981
vingtTroisSommets_A6.0_P2_EPS0.0.log;vingtTroisSommets;6.0;2;116.0;True;0.10551023483276367
vingtSommets_A6.0_P2_EPS0.0.log;vingtSommets;6.0;2;41.0;True;0.05522632598876953
quatreSommets_A6.0_P4_EPS0.0.log;missing;6.0;4;missing;missing;missing
centSommets_A6.0_P6_EPS0.5.log;centSommets;6.0;6;1539.0;True;0.8062038421630859
cinquanteSommets_A6.0_P6_EPS0.0.log;cinquanteSommets;6.0;6;400.0;True;0.24771904945373535
vingtTroisSommets_A6.0_P2_EPS1.0.log;vingtTroisSommets;6.0;2;0.0;True;0.08405327796936035
cinquanteSommets_A6.0_P2_EPS0.0.log;cinquanteSommets;6.0;2;209.0;True;0.2611393928527832
vingtQuatreSommets_A6.0_P2_EPS0.5.log;vingtQuatreSommets;6.0;2;89.0;True;0.09973645210266113
vingtSommets_A6.0_P4_EPS0.0.log;vingtSommets;6.0;4;70.0;True;0.07051610946655273
dixSeptSommets_A6.0_P6_EPS1.0.log;dixSeptSommets;6.0;6;85.0;True;0.06142592430114746
vingtQuatreSommets_A6.0_P6_EPS1.0.log;vingtQuatreSommets;6.0;6;182.0;True;0.15606927871704102
vingtDeuxSommets_A6.0_P3_EPS0.0.log;vingtDeuxSommets;6.0;3;142.0;True;0.09991025924682617
quinzeSommets_A6.0_P4_EPS0.5.log;quinzeSommets;6.0;4;58.0;True;0.05295372009277344
centSommets_A6.0_P5_EPS1.0.log;centSommets;6.0;5;1379.0;True;0.7940797805786133
cinqSommets_A6.0_P3_EPS1.0.log;cinqSommets;6.0;3;3.0;True;0.01902604103088379
centSommets_A6.0_P4_EPS0.0.log;centSommets;6.0;4;1460.0;True;0.8901023864746094
vingtDeuxSommets_A6.0_P4_EPS0.0.log;vingtDeuxSommets;6.0;4;162.0;True;0.09935951232910156
vingtSommets_A6.0_P6_EPS0.0.log;vingtSommets;6.0;6;76.0;True;0.07449507713317871
cinquanteSommets_A6.0_P3_EPS1.0.log;cinquanteSommets;6.0;3;201.0;True;0.2072305679321289
trenteSommets_A6.0_P2_EPS0.0.log;trenteSommets;6.0;2;193.0;True;0.18371295928955078
cinqSommets_A6.0_P5_EPS0.0.log;missing;6.0;5;missing;missing;missing
cinqCentSommets_A6.0_P5_EPS0.0.log;cinqCentSommets;6.0;5;5902.0;True;4.725231885910034
trenteSommets_A6.0_P5_EPS0.5.log;trenteSommets;6.0;5;290.0;True;0.1675119400024414
vingtQuatreSommets_A6.0_P3_EPS0.5.log;vingtQuatreSommets;6.0;3;131.0;True;0.11748647689819336
vingtCinqSommets_A6.0_P5_EPS1.0.log;vingtCinqSommets;6.0;5;200.0;True;0.12697553634643555
vingtTroisSommets_A6.0_P5_EPS0.5.log;vingtTroisSommets;6.0;5;170.0;True;0.10499334335327148
cinqSommets_A6.0_P6_EPS1.0.log;missing;6.0;6;missing;missing;missing
cinquanteSommets_A6.0_P2_EPS0.5.log;cinquanteSommets;6.0;2;160.0;True;0.19823646545410156
trenteSommets_A6.0_P5_EPS1.0.log;trenteSommets;6.0;5;254.0;True;0.16394853591918945
dixSommets_A6.0_P3_EPS1.0.log;dixSommets;6.0;3;11.0;True;0.02438640594482422
vingtTroisSommets_A6.0_P6_EPS1.0.log;vingtTroisSommets;6.0;6;162.0;True;0.10196423530578613
quatreSommets_A6.0_P4_EPS0.5.log;missing;6.0;4;missing;missing;missing
cinquanteSommets_A6.0_P5_EPS0.5.log;cinquanteSommets;6.0;5;350.0;True;0.23403596878051758
dixSeptSommets_A6.0_P6_EPS0.0.log;dixSeptSommets;6.0;6;102.0;True;0.07665443420410156
vingtTroisSommets_A6.0_P3_EPS0.5.log;vingtTroisSommets;6.0;3;117.0;True;0.10302329063415527
vingtEtunSommets_A6.0_P3_EPS0.0.log;vingtEtunSommets;6.0;3;144.0;True;0.13195061683654785
quinzeSommets_A6.0_P3_EPS0.5.log;quinzeSommets;6.0;3;46.0;True;0.04790949821472168
vingtCinqSommets_A6.0_P2_EPS0.0.log;vingtCinqSommets;6.0;2;152.0;True;0.19802594184875488
cinqSommets_A6.0_P5_EPS0.5.log;missing;6.0;5;missing;missing;missing
