logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
vingtCinqSommets_A2_P2_EPS1.0.log;2;2;1.0;3600;50;0.0;0.0;0.0;0.0;0.0;50;50;0.0;0.4644622802734375;True
quinzeSommets_A2_P2_EPS1.0.log;2;2;1.0;3600;50;0.0;0.0;0.0;0.0;0.0;50;50;0.0;0.08190298080444336;True
cinquanteSommets_A2_P2_EPS0.5.log;2;2;0.5;3600;50;138.0;176.0;155.3;156.0;7.451201793218682;1;50;138.0;1.5976216793060303;True
vingtTroisSommets_A2_P2_EPS1.0.log;2;2;1.0;3600;50;0.0;0.0;0.0;0.0;0.0;50;50;0.0;0.3483860492706299;True
centSommets_A2_P2_EPS0.5.log;2;2;0.5;3600;50;631.0;700.0;670.66;671.5;13.997973614281548;1;50;631.0;24.171390295028687;True
vingtTroisSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;116.0;120.0;117.72;117.5;1.0887176504718656;5;50;116.0;0.047736406326293945;True
vingtQuatreSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;131.0;133.0;131.96;132.0;0.6375975315548971;11;50;131.0;0.01094818115234375;True
vingtDeuxSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;107.0;116.0;111.64;111.5;2.1830515994163506;2;50;107.0;0.009974002838134766;True
centSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;960.0;1040.0;1007.14;1009.5;20.659543428979198;1;50;960.0;0.0968172550201416;True
cinquanteSommets_A2_P2_EPS1.0.log;2;2;1.0;3600;50;0.0;0.0;0.0;0.0;0.0;50;50;0.0;3.0842065811157227;True
quatreSommets_A2_P2_EPS1.0.log;2;2;1.0;3600;50;0.0;0.0;0.0;0.0;0.0;50;50;0.0;0.001894235610961914;True
vingtEtunSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;107.0;110.0;107.62;107.0;0.901019830355513;30;50;107.0;0.037071943283081055;True
vingtSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;47.0;60.0;52.04;52.0;2.927421376974512;3;50;47.0;0.007888078689575195;True
cinqSommets_A2_P2_EPS0.5.log;2;2;0.5;3600;50;3.0;4.0;3.06;3.0;0.23989793748209523;47;50;3.0;0.002209186553955078;True
cinqCentSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;3651.0;3839.0;3756.34;3752.5;40.84795601011245;1;50;3651.0;1.1636266708374023;True
dixSommets_A2_P2_EPS0.5.log;2;2;0.5;3600;50;8.0;13.0;8.96;9.0;1.1598733217248252;24;50;8.0;0.01054525375366211;True
cinqSommets_A2_P2_EPS0.0.log;2;2;0.0;3600;50;4.0;4.0;4.0;4.0;0.0;50;50;4.0;0.0022530555725097656;True
