logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
dixSeptSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;60.0;63.0;61.2;61.0;0.832993127835043;missing;50;60.0;0.010076045989990234;True
vingtSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;26.0;47.0;34.64;33.0;4.029280586012387;missing;50;26.0;0.023990392684936523;True
cinquanteSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.891033411026001;True
quinzeSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;26.0;33.0;29.7;30.0;2.261027398763488;missing;50;26.0;0.014711141586303711;True
cinquanteSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;233.0;270.0;253.88;254.0;8.03472057347843;missing;50;233.0;0.017591238021850586;True
vingtEtunSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;107.0;110.0;107.62;107.0;0.752953368748825;missing;50;107.0;0.017322063446044922;True
vingtSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;44.0;59.0;52.38;52.0;3.0698667125223955;missing;50;44.0;0.0066070556640625;True
vingtEtunSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.08600282669067383;True
quatreSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.0012772083282470703;True
quinzeSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;43.0;47.0;45.12;45.0;1.136410388648648;missing;50;43.0;0.012273550033569336;True
centSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;688.0;762.0;720.82;722.0;18.06303023372573;missing;50;688.0;3.590623140335083;True
quatreSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;1.0;2.0;1.3;1.0;0.4629100498862757;missing;50;1.0;0.0008857250213623047;True
vingtDeuxSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;73.0;82.0;77.22;77.0;2.28830210649998;missing;50;73.0;0.041443824768066406;True
