logFile;dataFileName;Algorithm;Number of classes;Epsilon;solutionValue;isFeasible;cpuTime
cinqSommets_A1_P2_EPS0.0.log;cinqSommets;1;2;0.0;4.0;True;0.0002849102020263672
cinqSommets_A1_P2_EPS0.5.log;cinqSommets;1;2;0.5;3.0;True;0.000156402587890625
cinqSommets_A1_P2_EPS1.0.log;cinqSommets;1;2;1.0;0.0;True;0.00057220458984375
cinqSommets_A1_P3_EPS0.0.log;cinqSommets;1;3;0.0;6.0;True;0.0006821155548095703
cinqSommets_A1_P3_EPS0.5.log;cinqSommets;1;3;0.5;4.0;True;0.0008237361907958984
cinqSommets_A1_P3_EPS1.0.log;cinqSommets;1;3;1.0;3.0;True;0.0009016990661621094
cinqSommets_A1_P4_EPS0.0.log;cinqSommets;1;4;0.0;6.0;True;0.0030438899993896484
cinqSommets_A1_P4_EPS0.5.log;cinqSommets;1;4;0.5;6.0;True;0.003028392791748047
cinqSommets_A1_P4_EPS1.0.log;cinqSommets;1;4;1.0;4.0;True;0.0034728050231933594
cinqSommets_A1_P5_EPS0.0.log;cinqSommets;1;5;0.0;8.0;True;0.006780862808227539
cinqSommets_A1_P5_EPS0.5.log;cinqSommets;1;5;0.5;6.0;True;0.009856224060058594
cinqSommets_A1_P5_EPS1.0.log;cinqSommets;1;5;1.0;6.0;True;0.009868383407592773
cinqSommets_A1_P6_EPS0.0.log;missing;1;6;0.0;missing;False;missing
cinqSommets_A1_P6_EPS0.5.log;missing;1;6;0.5;missing;False;missing
cinqSommets_A1_P6_EPS1.0.log;missing;1;6;1.0;missing;False;missing
dixSeptSommets_A1_P2_EPS0.0.log;dixSeptSommets;1;2;0.0;60.0;True;1.110496997833252
dixSeptSommets_A1_P2_EPS0.5.log;dixSeptSommets;1;2;0.5;36.0;True;2.0978832244873047
dixSeptSommets_A1_P2_EPS1.0.log;dixSeptSommets;1;2;1.0;0.0;True;2.1211998462677
dixSeptSommets_A1_P3_EPS0.0.log;dixSeptSommets;1;3;0.0;81.0;True;732.042778968811
dixSeptSommets_A1_P3_EPS0.5.log;dixSeptSommets;1;3;0.5;60.0;True;1926.5873358249664
dixSeptSommets_A1_P3_EPS1.0.log;dixSeptSommets;1;3;1.0;45.0;True;2073.98104095459
dixSommets_A1_P2_EPS0.0.log;dixSommets;1;2;0.0;13.0;True;0.0039255619049072266
