logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
vingtQuatreSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;209.0;211.0;209.86;210.0;0.45220547975269754;9;50;209.0;0.10199832916259766;True
vingtTroisSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;164.0;172.0;168.54;169.5;2.3837031728649714;1;50;164.0;0.4497549533843994;True
vingtDeuxSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;151.0;156.0;153.24;153.0;1.3334013588089182;3;50;151.0;0.5032076835632324;True
centSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;1326.0;1407.0;1372.1;1371.5;20.51306204070261;1;50;1326.0;99.95069527626038;True
dixSeptSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;94.0;99.0;96.66;97.0;1.4085743262792565;5;50;94.0;0.06204628944396973;True
quatreSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;2.0;4.0;3.36;3.0;0.5627918743883489;2;50;2.0;0.0014028549194335938;False
cinquanteSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;312.0;361.0;335.12;335.0;11.35806824621662;1;50;312.0;6.580416202545166;True
vingtDeuxSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;136.0;143.0;139.16;139.0;1.7304004491116252;4;50;136.0;0.7452313899993896;True
vingtDeuxSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;172.0;177.0;174.22;174.0;1.3138197931906765;6;50;172.0;0.10449743270874023;True
vingtSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;80.0;89.0;84.34;84.5;2.300044365144432;3;50;80.0;0.018754243850708008;True
dixMilleSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;7998146.0;8002986.0;8000663.88;8000697.0;1247.8855854146702;1;50;7998146.0;2407.7082295417786;True
vingtQuatreSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;175.0;177.0;175.74;176.0;0.6942915931555924;20;50;175.0;0.8019115924835205;True
centSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;1156.0;1232.0;1190.6;1190.0;15.824290292626273;1;50;1156.0;162.6540789604187;True
vingtSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;52.0;65.0;57.86;58.0;3.2639652859298462;2;50;52.0;0.4117929935455322;True
quatreSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;4.0;4.0;4.0;4.0;0.0;50;50;4.0;0.0015053749084472656;False
cinquanteSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;273.0;306.0;289.4;289.5;7.695744914946075;1;50;273.0;10.180041790008545;True
vingtSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;62.0;76.0;67.86;67.0;3.416705657650423;1;50;62.0;0.27832579612731934;True
dixSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;21.0;25.0;22.36;22.0;1.1563489339913178;15;50;21.0;0.029422998428344727;True
cinqSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;6.0;6.0;6.0;6.0;0.0;50;50;6.0;0.0070002079010009766;True
vingtCinqSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;246.0;249.0;246.78;247.0;0.7365113574085852;18;50;246.0;0.030060291290283203;True
milleSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;7888.0;8098.0;8009.58;8012.0;39.93519750796282;1;50;7888.0;15.179118633270264;True
vingtTroisSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;186.0;191.0;188.12;188.0;1.4796579858541774;7;50;186.0;0.11091923713684082;True
quinzeSommets_A2_P5_EPS0.5.log;2;5;0.5;3600;50;62.0;67.0;64.28;64.0;1.0887176504718656;3;50;62.0;0.13826704025268555;True
quatreSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;2.0;4.0;3.32;3.0;0.551065757771026;2;50;2.0;0.001413106918334961;False
quinzeSommets_A2_P5_EPS1.0.log;2;5;1.0;3600;50;58.0;64.0;60.68;61.0;1.4061091199273466;2;50;58.0;0.16729283332824707;True
quinzeSommets_A2_P5_EPS0.0.log;2;5;0.0;3600;50;76.0;80.0;78.12;78.0;0.9612916480720413;3;50;76.0;0.013246297836303711;True
