dataFileName;solutionValue;cpuTime
centSommets;839.0;0.012523
cinqCentSommets;2843.0;0.111789
cinqSommets;4.0;0.000133
cinquanteSommets;197.0;0.004130
dixMilleSommets;4856485.0;239.649365
dixSeptSommets;60.0;0.000585
dixSommets;13.0;0.000119
milleSommets;3469.0;0.077574
quatreSommets;2.0;0.000056
quinzeSommets;43.0;0.000224
trenteSommets;190.0;0.000869
vingtCinqSommets;152.0;0.000667
vingtDeuxSommets;103.0;0.000682
vingtEtunSommets;107.0;0.000446
vingtQuatreSommets;131.0;0.000550
vingtSommets;41.0;0.000255
vingtTroisSommets;117.0;0.000521
